"chain","project","symbol","tvlUsd","apyBase","apyReward","apy","rewardTokens","pool","apyPct1D","apyPct7D","apyPct30D","stablecoin","ilRisk","exposure","predictions","poolMeta","mu","sigma","count","outlier","underlyingTokens","il7d","apyBase7d","apyMean30d","volumeUsd1d","volumeUsd7d","apyBaseInception"
"Aptos","aries-markets","ZUSDC",8524474,1.13887,0.00019,1.13907,"[""0x1::aptos_coin::AptosCoin""]","e513379e-1af2-41a8-98fc-9d4bedbefbe4",-0.00049,0.35008,-3.11015,true,"no","single","{""predictedClass"":""Stable/Up"",""predictedProbability"":94,""binnedConfidence"":3}",,13.31545,0.20303,396,false,,,,3.76583,,,
"Aptos","thalaswap","APT-TAPT",44201,0.85833,0,0.85833,"[]","b0259939-a0f4-451a-aea6-1416f25faf0e",0.68214,,,false,"yes","multi","{""predictedClass"":""Stable/Up"",""predictedProbability"":64,""binnedConfidence"":2}",,1.26765,0.05507,110,false,"[""0x1::aptos_coin::AptosCoin"",""0x84d7aeef42d38a5ffc3ccef853e1b82e4958659d16a7de736a29c55fbbeb0114::staked_aptos_coin::StakedAptosCoin""]",,,0.38685,,,
"Aptos","cetus-amm","USDC-USDC",13689,0.83,0,0.83,"[]","719280ee-f445-4276-aa05-ad69114a2756",0.55,-0.59,-0.82,true,"no","multi","{""predictedClass"":""Stable/Up"",""predictedProbability"":59,""binnedConfidence"":1}","0.01%",7.59288,0.35877,412,false,"[""0xf22bede237a07e121b56d91a491eb7bcdfd1f5907926a9e58338f964a01b17fa::asset::USDC"",""0x5e156f1207d0ebfa19a9eeff00d62a282278fb8719f4fab3a586a0a2c0fffbea::coin::T""]",,0.95,1.67544,3143.87755,25045.66608,
"Aptos","cellana-finance","APT-UNDEFINED",12880,0,0.71613,0.71613,"[""0x2ebb2ccac5e027a87fa0e2e5f656a3a4238d6a48d93ec9b610d570fc0aa0df12""]","31aa634f-a185-4c7a-bffa-d9f2fd0c72a3",0.19947,0.31729,-0.98899,false,"yes","multi","{""predictedClass"":""Down"",""predictedProbability"":67,""binnedConfidence"":2}",,0.9028,0.0687,82,false,,,,1.5224,,,
"Aptos","cellana-finance","USDC-WBTC",385845,0,0.70209,0.70209,"[""0x2ebb2ccac5e027a87fa0e2e5f656a3a4238d6a48d93ec9b610d570fc0aa0df12""]","976ba991-7c47-49c4-983a-1cc1d12bb8a9",-0.01424,0.42496,-0.11531,false,"yes","multi","{""predictedClass"":""Stable/Up"",""predictedProbability"":76,""binnedConfidence"":3}",,2.63367,0.22113,357,false,,,,0.5704,,,
"Aptos","cellana-finance","USDC-USDT",336622,0,0.63408,0.63408,"[""0x2ebb2ccac5e027a87fa0e2e5f656a3a4238d6a48d93ec9b610d570fc0aa0df12""]","17b86d94-7156-4865-aa94-9aee84935005",-0.00647,-0.30644,,true,"no","multi","{""predictedClass"":""Stable/Up"",""predictedProbability"":79,""binnedConfidence"":3}",,18.91612,0.58481,354,false,,,,2.40065,,,
"Aptos","cellana-finance","AMAPT-APT",13753889,0,0.62712,0.62712,"[""0x2ebb2ccac5e027a87fa0e2e5f656a3a4238d6a48d93ec9b610d570fc0aa0df12""]","a35d619b-5413-4ceb-9908-ce6620d0b56f",0.00584,0.37398,-0.21136,false,"yes","multi","{""predictedClass"":""Stable/Up"",""predictedProbability"":81,""binnedConfidence"":3}",,3.75236,0.25571,366,false,,,,0.35432,,,
"Aptos","cellana-finance","ABTC-APT",9115080,0,0.59855,0.59855,"[""0x2ebb2ccac5e027a87fa0e2e5f656a3a4238d6a48d93ec9b610d570fc0aa0df12""]","a5d34629-f42b-452f-9656-ffb7470892ee",0.00288,-0.30882,0.2022,false,"yes","multi","{""predictedClass"":""Stable/Up"",""predictedProbability"":81,""binnedConfidence"":3}",,0.51572,0.01495,152,false,,,,0.67281,,,
"Aptos","thalaswap","MOD-USDC",720802,0.54296,0,0.54296,"[]","ad37f69e-0ae5-4b8a-986b-b72824a447cb",-0.4805,,,true,"no","multi","{""predictedClass"":null,""predictedProbability"":null,""binnedConfidence"":null}",,0.52929,0.00101,2,false,"[""0x6f986d146e4a90b828d8c12c14b6f4e003fdff11a8eecceceb63744363eaac01::mod_coin::MOD"",""0xf22bede237a07e121b56d91a491eb7bcdfd1f5907926a9e58338f964a01b17fa::asset::USDC""]",,,0.67307,,,
"Aptos","aries-markets","ZWETH",412680,0.47938,,0.47938,,"9c6c7fbe-2181-4c75-a6e2-405979895a93",-0.04007,-0.17466,-0.37388,false,"no","single","{""predictedClass"":""Stable/Up"",""predictedProbability"":79,""binnedConfidence"":3}",,3.19063,0.24864,396,false,,,,0.69506,,,
"Aptos","thalaswap","USDC-USDC",1040595,0.46742,0,0.46742,"[]","88bfd619-4965-482e-8ff7-9f351f98665c",-0.19095,,,true,"no","multi","{""predictedClass"":null,""predictedProbability"":null,""binnedConfidence"":null}",,0.58921,0.00897,2,false,"[""0x5e156f1207d0ebfa19a9eeff00d62a282278fb8719f4fab3a586a0a2c0fffbea::coin::T"",""0xf22bede237a07e121b56d91a491eb7bcdfd1f5907926a9e58338f964a01b17fa::asset::USDC""]",,,0.68574,,,
"Aptos","meso-finance","AMAPT",600315,0.43445,,0.43445,,"b7cab092-4d02-45e8-86f8-28036afe4cfb",0.00006,0.00037,-0.0015,false,"no","single","{""predictedClass"":""Stable/Up"",""predictedProbability"":61,""binnedConfidence"":1}",,0.62808,0.03263,192,false,,,,0.43475,,,
"Aptos","thalaswap-v2","USDT-USDT",511624,0.3443,0,0.3443,"[]","b365a7d2-94d6-4486-a79d-3022d7f1e74d",-0.67081,,,true,"no","multi","{""predictedClass"":null,""predictedProbability"":null,""binnedConfidence"":null}",,0.43488,0.00668,2,false,"[""0x357b0b74bc833e95a115ad22604854d6b0fca151cecd94111770e5d6ffc9dc2b"",""0xe568e9322107a5c9ba4cbd05a630a5586aa73e744ada246c3efb0f4ce3e295f3""]",,,0.6915,,,
